date_local,parameter_code,sample_duration_code,sample_duration,observation_count,observation_percent,arithmetic_mean,aqi,parameter_code44201,sample_duration_code44201,sample_duration44201,observation_count44201,observation_percent44201,arithmetic_mean44201,aqi44201,parameter_code88101,sample_duration_code88101,sample_duration88101,observation_count88101,observation_percent88101,arithmetic_mean88101,aqi88101,aqi_max,latitude,longitude,validity_indicator,pollutant_standard,units_of_measure,city,latitude44201,longitude44201,validity_indicator44201,pollutant_standard44201,units_of_measure44201,city44201,latitude88101,longitude88101,validity_indicator88101,pollutant_standard88101,units_of_measure88101,city88101
2013-02-13,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.35,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.011734,19.0,,,,,,,,19.0,,,,,,,,,,,,,,,,,,
2013-02-14,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.3875,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.010014666666666667,20.0,,,,,,,,20.0,,,,,,,,,,,,,,,,,,
2013-02-15,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.429167,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.00982,19.0,88101,7,24 HOUR,16.0,100.0,25.65,82.0,82.0,,,,,,,,,,,,,,,,,,
2013-02-16,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.304167,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.024044,25.0,,,,,,,,25.0,,,,,,,,,,,,,,,,,,
2013-02-17,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.470833,7.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.029255000000000003,29.0,,,,,,,,29.0,,,,,,,,,,,,,,,,,,
2013-02-18,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.629167,8.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.017509666666666666,27.0,88101,7,24 HOUR,16.0,100.0,7.6000000000000005,42.0,42.0,,,,,,,,,,,,,,,,,,
2013-02-19,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.641667,9.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.014126,22.0,,,,,,,,22.0,,,,,,,,,,,,,,,,,,
2013-02-20,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.3875,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.022290666666666667,22.0,,,,,,,,22.0,,,,,,,,,,,,,,,,,,
2013-02-21,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.566667,7.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.021243666666666664,23.0,88101,7,24 HOUR,16.0,100.0,6.9,38.5,38.5,,,,,,,,,,,,,,,,,,
2013-02-22,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.65,8.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.012300333333333335,15.0,,,,,,,,15.0,,,,,,,,,,,,,,,,,,
2013-02-23,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.604167,8.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.013246666666666665,19.0,,,,,,,,19.0,,,,,,,,,,,,,,,,,,
2013-02-24,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.458333,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.024529333333333334,29.0,88101,7,24 HOUR,24.0,100.0,9.266666666666667,48.333333333333336,48.333333333333336,,,,,,,,,,,,,,,,,,
2013-02-25,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.470833,7.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.015009666666666666,22.0,,,,,,,,22.0,,,,,,,,,,,,,,,,,,
2013-02-26,42101,Z,8-HR RUN AVG END HOUR,18.0,75.0,0.605556,9.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.018322,28.0,,,,,,,,28.0,,,,,,,,,,,,,,,,,,
2013-02-27,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.4,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.014941333333333334,25.666666666666668,88101,7,24 HOUR,32.0,100.0,9.475,43.75,43.75,,,,,,,,,,,,,,,,,,
2013-02-28,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.304167,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.013114,17.0,,,,,,,,17.0,,,,,,,,,,,,,,,,,,
2013-03-01,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2375,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.017354333333333333,19.0,,,,,,,,19.0,,,,,,,,,,,,,,,,,,
2013-03-02,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.220833,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.020854333333333336,21.0,88101,7,24 HOUR,32.0,100.0,4.8,26.5,26.5,,,,,,,,,,,,,,,,,,
2013-03-03,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.295833,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.024310333333333333,25.0,,,,,,,,25.0,,,,,,,,,,,,,,,,,,
2013-03-04,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.345833,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.023714333333333334,23.0,,,,,,,,23.0,,,,,,,,,,,,,,,,,,
2013-03-05,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.320833,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.01836133333333333,25.0,88101,7,24 HOUR,32.0,100.0,5.85,32.25,32.25,,,,,,,,,,,,,,,,,,
2013-03-06,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.35,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.027119,29.0,,,,,,,,29.0,,,,,,,,,,,,,,,,,,
2013-03-07,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.3,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.025274666666666668,26.0,,,,,,,,26.0,,,,,,,,,,,,,,,,,,
2013-03-08,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.345833,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.027126,28.0,88101,7,24 HOUR,32.0,100.0,6.025,33.25,33.25,,,,,,,,,,,,,,,,,,
2013-03-09,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.279167,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.023339666666666665,33.0,,,,,,,,33.0,,,,,,,,,,,,,,,,,,
2013-03-10,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.308333,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.023736666666666666,26.0,,,,,,,,26.0,,,,,,,,,,,,,,,,,,
2013-03-11,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.279167,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.022447333333333333,27.0,88101,7,24 HOUR,32.0,100.0,7.7,42.5,42.5,,,,,,,,,,,,,,,,,,
2013-03-12,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2125,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.019741666666666668,22.0,,,,,,,,22.0,,,,,,,,,,,,,,,,,,
2013-03-13,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.1625,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.025094666666666668,30.0,,,,,,,,30.0,,,,,,,,,,,,,,,,,,
2013-03-14,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.3125,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.031883666666666664,33.0,88101,7,24 HOUR,32.0,100.0,4.15,23.0,33.0,,,,,,,,,,,,,,,,,,
2013-03-15,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.416667,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.023147,23.333333333333332,,,,,,,,23.333333333333332,,,,,,,,,,,,,,,,,,
2013-03-16,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.366667,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.015846666666666665,19.333333333333332,,,,,,,,19.333333333333332,,,,,,,,,,,,,,,,,,
2013-03-17,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.4,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.024259666666666665,26.0,88101,7,24 HOUR,32.0,100.0,5.9,32.75,32.75,,,,,,,,,,,,,,,,,,
2013-03-18,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.491667,7.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.021632333333333337,25.0,,,,,,,,25.0,,,,,,,,,,,,,,,,,,
2013-03-19,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.520833,7.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.02004066666666667,23.333333333333332,,,,,,,,23.333333333333332,,,,,,,,,,,,,,,,,,
2013-03-20,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.383333,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.026479,30.0,88101,7,24 HOUR,32.0,100.0,8.85,48.0,48.0,,,,,,,,,,,,,,,,,,
2013-03-21,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.370833,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.02863866666666667,30.0,,,,,,,,30.0,,,,,,,,,,,,,,,,,,
2013-03-22,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.4125,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.023928,28.0,,,,,,,,28.0,,,,,,,,,,,,,,,,,,
2013-03-23,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.3625,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.02669466666666667,30.0,88101,7,24 HOUR,32.0,100.0,4.525,25.0,30.0,,,,,,,,,,,,,,,,,,
2013-03-24,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.341667,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.021194666666666667,31.0,,,,,,,,31.0,,,,,,,,,,,,,,,,,,
2013-03-25,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.429167,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.019165333333333336,23.0,,,,,,,,23.0,,,,,,,,,,,,,,,,,,
2013-03-26,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.366667,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.023209333333333332,28.0,88101,7,24 HOUR,32.0,100.0,5.325,29.5,29.5,,,,,,,,,,,,,,,,,,
2013-03-27,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2625,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.029132333333333333,31.0,,,,,,,,31.0,,,,,,,,,,,,,,,,,,
2013-03-28,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.283333,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.023230333333333335,26.0,,,,,,,,26.0,,,,,,,,,,,,,,,,,,
