date_local,latitude,longitude,county,aqi_42101,aqi_42401,aqi_44201,aqi_42602,aqi_88502,aqi_max
2013-04-17,40.81551,-73.88553,Bronx,4.0,3.8,37.625,51.5,37.25,51.5
2013-04-18,40.81551,-73.88553,Bronx,4.0,2.6,30.75,43.5,40.75,43.5
2013-04-19,40.81551,-73.88553,Bronx,5.0,1.0,29.125,31.5,40.25,40.25
2013-04-20,40.81551,-73.88553,Bronx,5.5,2.6,34.0,18.0,34.75,34.75
2013-04-21,40.81551,-73.88553,Bronx,7.0,3.8,40.0,34.5,32.5,40.0
2013-04-22,40.81551,-73.88553,Bronx,8.0,2.6,36.25,22.0,32.75,36.25
2013-04-23,40.81551,-73.88553,Bronx,6.5,2.2,29.375,22.0,32.5,32.5
2013-04-24,40.81551,-73.88553,Bronx,5.0,11.0,28.75,35.0,44.5,44.5
2013-04-25,40.81551,-73.88553,Bronx,4.0,2.2,42.0,44.0,46.0,46.0
2013-04-26,40.81551,-73.88553,Bronx,3.0,8.2,52.75,46.0,44.5,52.75
2013-04-27,40.81551,-73.88553,Bronx,2.5,2.2,52.75,27.5,39.25,52.75
2013-04-28,40.81551,-73.88553,Bronx,4.0,3.8,68.5,40.5,42.0,68.5
2013-04-29,40.81551,-73.88553,Bronx,4.0,1.8,46.375,32.0,49.75,49.75
2013-04-30,40.81551,-73.88553,Bronx,2.0,1.4,42.625,26.5,43.0,43.0
2013-05-01,40.81551,-73.88553,Bronx,2.5,5.4,41.625,41.0,37.0,41.625
2013-05-02,40.81551,-73.88553,Bronx,5.0,7.0,34.875,41.0,38.0,41.0
2013-05-03,40.81551,-73.88553,Bronx,5.0,1.4,38.25,19.0,34.0,38.25
2013-05-04,40.81551,-73.88553,Bronx,3.0,2.6,38.125,25.5,34.25,44.5
2013-05-05,40.81551,-73.88553,Bronx,2.5,1.4,44.25,16.0,42.5,44.25
2013-05-06,40.81551,-73.88553,Bronx,3.5,1.4,36.0,35.0,46.75,46.75
2013-05-07,40.81551,-73.88553,Bronx,5.0,1.4,30.625,27.5,39.75,39.75
2013-05-08,40.81551,-73.88553,Bronx,5.0,1.4,22.5,29.0,32.666666666666664,32.666666666666664
2013-05-09,40.81551,-73.88553,Bronx,6.0,3.4,19.625,45.5,38.0,45.5
2013-05-10,40.81551,-73.88553,Bronx,7.0,3.4,33.375,44.5,47.75,56.0
2013-05-11,40.81551,-73.88553,Bronx,7.5,1.4,32.0,34.0,57.25,57.25
2013-05-12,40.81551,-73.88553,Bronx,7.5,1.4,38.625,22.0,41.5,41.5
2013-05-13,40.81551,-73.88553,Bronx,6.0,2.6,38.125,14.5,26.25,38.125
2013-05-14,40.81551,-73.88553,Bronx,5.0,4.6,39.625,43.5,25.0,43.5
2013-05-15,40.81551,-73.88553,Bronx,5.0,4.2,42.75,44.5,34.0,44.5
2013-05-16,40.81551,-73.88553,Bronx,5.5,7.8,40.875,62.0,57.0,62.0
2013-05-17,40.81551,-73.88553,Bronx,6.0,2.2,40.0,39.0,34.0,40.0
2013-05-18,40.81551,-73.88553,Bronx,7.0,2.6,34.75,41.5,28.75,41.5
2013-05-19,40.81551,-73.88553,Bronx,6.5,1.0,30.625,21.0,24.0,30.625
2013-05-20,40.81551,-73.88553,Bronx,7.5,2.6,28.625,43.5,35.25,43.5
2013-05-21,40.81551,-73.88553,Bronx,10.5,3.8,43.25,38.0,60.75,60.75
2013-05-22,40.81551,-73.88553,Bronx,9.5,3.0,26.625,41.0,64.0,64.0
2013-05-23,40.81551,-73.88553,Bronx,8.0,1.4,18.375,27.0,56.5,56.5
2013-05-24,40.81551,-73.88553,Bronx,7.0,2.2,17.625,32.0,29.5,32.0
2013-05-25,40.81551,-73.88553,Bronx,5.5,1.4,24.875,8.0,6.5,24.875
2013-05-26,40.81551,-73.88553,Bronx,5.0,2.6,31.375,21.0,5.0,31.375
2013-05-27,40.81551,-73.88553,Bronx,5.0,3.0,40.75,25.0,11.5,40.75
2013-05-28,40.81551,-73.88553,Bronx,6.5,5.8,31.875,41.5,31.5,54.0
2013-05-29,40.81551,-73.88553,Bronx,9.0,3.8,36.25,68.0,60.5,68.0
2013-05-30,40.81551,-73.88553,Bronx,10.0,3.0,87.0,35.5,71.75,87.0
2013-05-31,40.81551,-73.88553,Bronx,9.0,5.4,82.375,51.5,69.25,82.375
2013-06-01,40.81551,-73.88553,Bronx,7.0,3.4,68.375,25.5,63.25,68.375
2013-06-02,40.81551,-73.88553,Bronx,6.0,2.6,50.25,29.5,50.5,50.5
2013-06-03,40.81551,-73.88553,Bronx,6.0,1.4,37.125,33.5,40.0,40.0
2013-06-04,40.83606,-73.92009,Bronx,5.5,2.2,37.5,14.5,21.0,37.5
2013-06-05,40.81551,-73.88553,Bronx,4.0,1.4,38.875,25.5,27.666666666666668,38.875
2013-06-06,40.81551,-73.88553,Bronx,3.0,1.1111111111111112,41.625,24.0,33.25,41.625
2013-06-07,40.81551,-73.88553,Bronx,3.0,0.8,32.75,9.0,19.0,32.75
2013-06-08,40.83606,-73.92009,Bronx,4.0,5.6,29.0,29.0,11.0,29.0
2013-06-09,40.83606,-73.92009,Bronx,5.5,5.6,43.25,47.0,39.0,52.0
2013-06-10,40.81551,-73.88553,Bronx,6.5,1.6,45.0,26.0,42.66666666666666,45.0
2013-06-11,40.81551,-73.88553,Bronx,6.5,1.5555555555555556,42.5,18.5,32.25,42.5
2013-06-12,40.81551,-73.88553,Bronx,5.5,3.0,36.875,29.5,19.75,36.875
2013-06-13,40.81551,-73.88553,Bronx,6.0,3.0,34.625,37.0,22.5,37.0
2013-06-14,40.81551,-73.88553,Bronx,6.0,2.2,34.5,23.5,29.0,34.5
2013-06-15,40.81551,-73.88553,Bronx,5.5,3.4,39.0,34.5,37.75,53.0
